
[MORL-DB] Initializing Pareto Policy Ensemble...
[SB-TRPO] Compiling 14-DOF Analytical Constraints and Physics Gradients via XLA...
   [DIAGNOSTIC] Soft setup grip: 1.3487 G | Hard setup grip: 0.9486 G
   [DIAGNOSTIC] If these are identical, setup_params are not reaching the physics.
   [SB-TRPO] i=0 | Safe: 5/20 | Grip: 1.336 G | Stab: -0.000 | sigma: 0.149
   [SB-TRPO] i=20 | Safe: 2/20 | Grip: 1.376 G | Stab: -0.000 | sigma: 0.135
   [SB-TRPO] i=40 | Safe: 5/20 | Grip: 1.382 G | Stab: -0.000 | sigma: 0.122
   [SB-TRPO] i=60 | Safe: 1/20 | Grip: 1.385 G | Stab: -0.000 | sigma: 0.110
   [SB-TRPO] i=80 | Safe: 4/20 | Grip: 1.393 G | Stab: -0.000 | sigma: 0.100
   [SB-TRPO] i=100 | Safe: 5/20 | Grip: 1.404 G | Stab: -0.000 | sigma: 0.090
   [SB-TRPO] i=120 | Safe: 2/20 | Grip: 1.404 G | Stab: -0.000 | sigma: 0.082
   [SB-TRPO] i=140 | Safe: 0/20 | Grip: 1.404 G | Stab: -0.000 | sigma: 0.074
   [SB-TRPO] i=160 | Safe: 4/20 | Grip: 1.405 G | Stab: -0.000 | sigma: 0.067
   [SB-TRPO] i=180 | Safe: 0/20 | Grip: 1.405 G | Stab: -0.000 | sigma: 0.061
   [SB-TRPO] i=200 | Safe: 2/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.055
   [SB-TRPO] i=220 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.050
   [SB-TRPO] i=240 | Safe: 1/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.045
   [SB-TRPO] i=260 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.041
   [SB-TRPO] i=280 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.037
   [SB-TRPO] i=300 | Safe: 1/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.033
   [SB-TRPO] i=320 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.030
   [SB-TRPO] i=340 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.027
   [SB-TRPO] i=360 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.025
   [SB-TRPO] i=380 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.022
   [SB-TRPO] i=400 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=420 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=440 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=460 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=480 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=500 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=520 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=540 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=560 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=580 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=600 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=620 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=640 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=660 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=680 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=700 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=720 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=740 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=760 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=780 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=800 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=820 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=840 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=860 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=880 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=900 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=920 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=940 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=960 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
   [SB-TRPO] i=980 | Safe: 0/20 | Grip: 1.406 G | Stab: -0.000 | sigma: 0.020
